member_id,full_name,first_name,last_name,constituency_name,party
4849,Alex Davies-Jones,Alex,Davies-Jones,Pontypridd,Labour
373,David Davis,David,Davis,Goole and Pocklington,Conservative
4676,Marsha De Cordova,Marsha,De Cordova,Battersea,Labour
5083,Bobby Dean,Bobby,Dean,Carshalton and Wallington,Liberal Democrat
5187,Josh Dean,Josh,Dean,Hertford and Stortford,Labour
5224,Kate Dearden,Kate,Dearden,Halifax,Labour (Co-op)
5102,Carla Denyer,Carla,Denyer,Bristol Central,Green Party
5169,Charlie Dewhirst,Charlie,Dewhirst,Bridlington and The Wolds,Conservative
4638,Mr Tanmanjeet Singh Dhesi,Tanmanjeet,Singh Dhesi,Slough,Labour
5223,Jim Dickson,Jim,Dickson,Dartford,Labour
5310,Mr Lee Dillon,Lee,Dillon,Newbury,Liberal Democrat
4008,Dame Caroline Dinenage,Caroline,Dinenage,Gosport,Conservative
5281,Anna Dixon,Anna,Dixon,Shipley,Labour
4976,Samantha Dixon,Samantha,Dixon,Chester North and Neston,Labour
4657,Anneliese Dodds,Anneliese,Dodds,Oxford East,Labour (Co-op)
5192,Helena Dollimore,Helena,Dollimore,Hastings and Rye,Labour (Co-op)
4736,Dave Doogan,Dave,Doogan,Angus and Perthshire Glens,Scottish National Party
4264,Stephen Doughty,Stephen,Doughty,Cardiff South and Penarth,Labour (Co-op)
4397,Peter Dowd,Peter,Dowd,Bootle,Labour
4441,Sir Oliver Dowden,Oliver,Dowden,Hertsmere,Conservative
5275,Graeme Downie,Graeme,Downie,Dunfermline and Dollar,Labour
4616,Rosie Duffield,Rosie,Duffield,Canterbury,Independent
152,Sir Iain Duncan Smith,Iain,Duncan Smith,Chingford and Woodford Green,Conservative
5359,Neil Duncan-Jordan,Neil,Duncan-Jordan,Poole,Independent
4995,Sarah Dyke,Sarah,Dyke,Glastonbury and Somerton,Liberal Democrat
491,Dame Angela Eagle,Angela,Eagle,Wallasey,Labour
483,Maria Eagle,Maria,Eagle,Liverpool Garston,Labour
5262,Alex Easton,Alex,Easton,North Down,Independent
4846,Colum Eastwood,Colum,Eastwood,Foyle,Social Democratic & Labour Party
5125,Sorcha Eastwood,Sorcha,Eastwood,Lagan Valley,Alliance
5293,Cat Eccles,Cat,Eccles,Stourbridge,Labour
5298,Lauren Edwards,Lauren,Edwards,Rochester and Strood,Labour
5001,Sarah Edwards,Sarah,Edwards,Tamworth,Labour
165,Clive Efford,Clive,Efford,Eltham and Chislehurst,Labour
5010,Damien Egan,Damien,Egan,Bristol North East,Labour
5228,Maya Ellis,Maya,Ellis,Ribble Valley,Labour
4572,Chris Elmore,Chris,Elmore,Bridgend,Labour
5095,Kirith Entwistle,Kirith,Entwistle,Bolton North East,Labour
4870,Florence Eshalomi,Florence,Eshalomi,Vauxhall and Camberwell Green,Labour (Co-op)
4061,Bill Esterson,Bill,Esterson,Sefton Central,Labour
4040,Chris Evans,Chris,Evans,Caerphilly,Labour (Co-op)
4781,Dr Luke Evans,Luke,Evans,Hinckley and Bosworth,Conservative
5099,Miatta Fahnbulleh,Miatta,Fahnbulleh,Peckham,Labour (Co-op)
5148,Mr Hamish Falconer,Hamish,Falconer,Lincoln,Labour
5091,Nigel Farage,Nigel,Farage,Clacton,Reform UK
5107,Linsey Farnsworth,Linsey,Farnsworth,Amber Valley,Labour
1591,Tim Farron,Tim,Farron,Westmorland and Lonsdale,Liberal Democrat
5295,Josh Fenton-Glynn,Josh,Fenton-Glynn,Calder Valley,Labour
5031,Mark Ferguson,Mark,Ferguson,Gateshead Central and Whickham,Labour
5190,Patricia Ferguson,Patricia,Ferguson,Glasgow West,Labour
4823,John Finucane,John,Finucane,Belfast North,Sinn Féin
5053,Natalie Fleet,Natalie,Fleet,Bolsover,Labour
4735,Stephen Flynn,Stephen,Flynn,Aberdeen South,Scottish National Party
5029,Emma Foody,Emma,Foody,Cramlington and Killingworth,Labour (Co-op)
5291,Catherine Fookes,Catherine,Fookes,Monmouthshire,Labour
4942,Richard Foord,Richard,Foord,Honiton and Sidmouth,Liberal Democrat
5322,Mr Will Forster,Will,Forster,Woking,Liberal Democrat
5209,Peter Fortune,Peter,Fortune,Bromley and Biggin Hill,Conservative
5074,Mr Paul Foster,Paul,Foster,South Ribble,Labour
5101,Sir Ashley Fox,Ashley,Fox,Bridgwater,Conservative
4491,Vicky Foxcroft,Vicky,Foxcroft,Lewisham North,Labour
4753,Mary Kelly Foy,Mary,Kelly Foy,City of Durham,Labour
5184,Daniel Francis,Daniel,Francis,Bexleyheath and Crayford,Labour
1444,Mr Mark Francois,Mark,Francois,Rayleigh and Wickford,Conservative
5313,Zöe Franklin,Zöe,Franklin,Guildford,Liberal Democrat
4020,George Freeman,George,Freeman,Mid Norfolk,Conservative
4932,Mr Louie French,Louie,French,Old Bexley and Sidcup,Conservative
4637,Mr James Frith,James,Frith,Bury North,Labour
3912,Richard Fuller,Richard,Fuller,North Bedfordshire,Conservative
4571,Gill Furniss,Gill,Furniss,Sheffield Brightside and Hillsborough,Labour
87,Sir Roger Gale,Roger,Gale,Herne Bay and Sandwich,Conservative
146,Barry Gardiner,Barry,Gardiner,Brent West,Labour
5334,Dr Allison Gardner,Allison,Gardner,Stoke-on-Trent South,Labour
4074,Mark Garnier,Mark,Garnier,Wyre Forest,Conservative
5353,Anna Gelderd,Anna,Gelderd,South East Cornwall,Labour
5185,Alan Gemmell,Alan,Gemmell,Central Ayrshire,Labour
227,Andrew George,Andrew,George,St Ives,Liberal Democrat
5104,Gill German,Gill,German,Clwyd North,Labour
4434,Stephen Gethins,Stephen,Gethins,Arbroath and Broughty Ferry,Scottish National Party
4460,Ms Nusrat Ghani,Nusrat,Ghani,Sussex Weald,Conservative
5239,Sarah Gibson,Sarah,Gibson,Chippenham,Liberal Democrat
5188,Tracy Gilbert,Tracy,Gilbert,Edinburgh North and Leith,Labour
4603,Preet Kaur Gill,Preet,Kaur Gill,Birmingham Edgbaston,Labour (Co-op)
5252,Rachel Gilmour,Rachel,Gilmour,Tiverton and Minehead,Liberal Democrat
5181,Becky Gittins,Becky,Gittins,Clwyd East,Labour
4051,John Glen,John,Glen,Salisbury,Conservative
4126,Mary Glindon,Mary,Glindon,Newcastle upon Tyne East and Wallsend,Labour
5318,Olly Glover,Olly,Glover,Didcot and Wantage,Liberal Democrat
5073,Marie Goldman,Marie,Goldman,Chelmsford,Liberal Democrat
5205,Ben Goldsborough,Ben,Goldsborough,South Norfolk,Labour
5032,Tom Gordon,Tom,Gordon,Harrogate and Knaresborough,Liberal Democrat
5036,Jodie Gosling,Jodie,Gosling,Nuneaton,Labour
5305,Georgia Gould,Georgia,Gould,Queen's Park and Maida Vale,Labour
5170,John Grady,John,Grady,Glasgow East,Labour
4018,Helen Grant,Helen,Grant,Maidstone and Malling,Conservative
4918,Sarah Green,Sarah,Green,Chesham and Amersham,Liberal Democrat
4029,Lilian Greenwood,Lilian,Greenwood,Nottingham South,Labour
4874,Andrew Griffith,Andrew,Griffith,Arundel and South Downs,Conservative
1541,Dame Nia Griffith,Nia,Griffith,Llanelli,Labour
5203,Alison Griffiths,Alison,Griffiths,Bognor Regis and Littlehampton,Conservative
1506,Andrew Gwynne,Andrew,Gwynne,Gorton and Denton,Independent
5149,Amanda Hack,Amanda,Hack,North West Leicestershire,Labour
4473,Louise Haigh,Louise,Haigh,Sheffield Heeley,Labour
5154,Sarah Hall,Sarah,Hall,Warrington South,Labour (Co-op)
415,Fabian Hamilton,Fabian,Hamilton,Leeds North East,Labour
4938,Paulette Hamilton,Paulette,Hamilton,Birmingham Erdington,Labour
4827,Claire Hanna,Claire,Hanna,Belfast South and Mid Down,Social Democratic & Labour Party
5299,Monica Harding,Monica,Harding,Esher and Walton,Liberal Democrat
4645,Emma Hardy,Emma,Hardy,Kingston upon Hull West and Haltemprice,Labour
4480,Carolyn Harris,Carolyn,Harris,Neath and Swansea East,Labour
3948,Rebecca Harris,Rebecca,Harris,Castle Point,Conservative
5217,Lloyd Hatton,Lloyd,Hatton,South Dorset,Labour
4510,Helen Hayes,Helen,Hayes,Dulwich and West Norwood,Labour
350,Sir John Hayes,John,Hayes,South Holland and The Deepings,Conservative
5210,Tom Hayes,Tom,Hayes,Bournemouth East,Labour
5306,Claire Hazelgrove,Claire,Hazelgrove,Filton and Bradley Stoke,Labour
4636,Chris Hazzard,Chris,Hazzard,South Down,Sinn Féin
400,John Healey,John,Healey,Rawmarsh and Conisbrough,Labour
473,Sir Mark Hendrick,Mark,Hendrick,Preston,Labour (Co-op)
5078,Pippa Heylings,Pippa,Heylings,South Cambridgeshire,Liberal Democrat
1524,Dame Meg Hillier,Meg,Hillier,Hackney South and Shoreditch,Labour (Co-op)
5244,Chris Hinchliff,Chris,Hinchliff,North East Hertfordshire,Independent
5264,Jonathan Hinder,Jonathan,Hinder,Pendle and Clitheroe,Labour
3969,Damian Hinds,Damian,Hinds,East Hampshire,Conservative
4494,Simon Hoare,Simon,Hoare,North Dorset,Conservative
4602,Wera Hobhouse,Wera,Hobhouse,Bath,Liberal Democrat
1521,Mrs Sharon Hodgson,Sharon,Hodgson,Washington and Gateshead South,Labour
4813,Mr Richard Holden,Richard,Holden,Basildon and Billericay,Conservative
4474,Kevin Hollinrake,Kevin,Hollinrake,Thirsk and Malton,Conservative
4803,Paul Holmes,Paul,Holmes,Hamble Valley,Conservative
4873,Rachel Hopkins,Rachel,Hopkins,Luton South and South Bedfordshire,Labour
467,Sir Lindsay Hoyle,Lindsay,Hoyle,Chorley,Speaker
4407,Nigel Huddleston,Nigel,Huddleston,Droitwich and Evesham,Conservative
4853,Dr Neil Hudson,Neil,Hudson,Epping Forest,Conservative
5113,Claire Hughes,Claire,Hughes,Bangor Aberconwy,Labour
5292,Dáire Hughes,Dáire,Hughes,Newry and Armagh,Sinn Féin
5254,Alison Hume,Alison,Hume,Scarborough and Whitby,Labour
1572,Sir Jeremy Hunt,Jeremy,Hunt,Godalming and Ash,Conservative
4511,Dr Rupa Huq,Rupa,Huq,Ealing Central and Acton,Labour
5052,Patrick Hurley,Patrick,Hurley,Southport,Labour
5231,Mr Adnan Hussain,Adnan,Hussain,Blackburn,Independent
4394,Imran Hussain,Imran,Hussain,Bradford East,Labour
5290,Leigh Ingham,Leigh,Ingham,Stafford,Labour
5119,Natasha Irons,Natasha,Irons,Croydon East,Labour
5178,Sally Jameson,Sally,Jameson,Doncaster Central,Labour (Co-op)
4634,Christine Jardine,Christine,Jardine,Edinburgh West,Liberal Democrat
4243,Dan Jarvis,Dan,Jarvis,Barnsley North,Labour
5040,Liz Jarvis,Liz,Jarvis,Eastleigh,Liberal Democrat
40,Sir Bernard Jenkin,Bernard,Jenkin,Harwich and North Essex,Conservative
4320,Robert Jenrick,Robert,Jenrick,Newark,Conservative
